Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor
40270;155 609 147;C01;2;7;1;0;1;1;1
40270;155 609 149;D01;2;7;1;0;2;1;1
40270;155 609 153;A01;2;7;0;2;9;2;1
40086;155 609 469;A01;2;33;0;2;1;12;1
40086;155 609 470;B01;2;7;0;2;5;1;1
40084;155 609 471;A01;1;7;2;0;3;1;1
39922;155 609 758;A01;1;7;0;9;2;16;1
39922;155 609 759;B01;1;50;0;2;1;1;3
39752;155 610 055;A01;1;7;0;2;4;1;1
39752;155 610 057;B01;1;33;0;2;1;2;1
39546;155 610 423;B01;1;32;0;2;1;21;1
39546;155 610 425;A01;2;10;0;2;3;21;1
39507;155 610 500;A01;3;7;0;2;3;1;1
39507;155 610 503;B01;3;7;0;2;1;15;1
39477;155 610 550;A01;1;33;13;0;1;1;1
39217;155 611 028;A01;1;7;3;0;2;1;1
38951;155 611 503;A01;2;31;0;2;7;17;1
38951;155 611 505;C01;1;7;0;2;1;1;1
38951;155 611 506;B01;2;7;0;2;8;2;1
38949;155 611 508;A01;0;7;0;2;2;15;1
38949;155 611 510;B01;0;32;0;2;1;1;1
38697;155 611 976;A01;1;7;0;0;1;13;1
38531;155 612 254;A01;2;7;1;0;3;13;1
38466;155 612 374;A01;1;10;0;2;2;1;1
38466;155 612 377;B01;2;7;0;2;2;13;1
38389;155 612 510;A01;2;7;0;2;2;13;1
38389;155 612 513;B01;1;7;0;2;7;1;1
38381;155 612 521;A01;2;7;0;0;6;15;1
38381;155 612 524;B01;2;33;0;2;1;1;1
38308;155 612 650;A01;1;7;0;0;6;26;1
38308;155 612 651;B01;1;15;0;2;2;21;1
38288;155 612 684;A01;1;7;0;2;3;15;0
38288;155 612 686;B01;2;33;0;2;1;1;1
38137;155 612 929;C01;2;7;4;0;2;1;1
38137;155 612 932;B01;2;7;0;2;4;26;1
38137;155 612 935;A01;2;7;0;2;1;1;1
38133;155 612 937;A01;2;33;14;0;0;1;0
38079;155 613 045;A01;2;7;0;2;1;1;1
38079;155 613 047;B01;1;7;0;2;1;15;1
37965;155 613 263;A01;1;7;0;2;7;15;1
37965;155 613 265;B01;2;7;3;2;2;1;1
37965;155 613 267;C01;2;7;0;2;3;23;1
37945;155 613 300;A01;2;33;13;0;7;12;1
37895;155 613 392;A01;1;7;0;0;3;1;1
37895;155 613 393;B01;1;7;0;2;3;1;1
37879;155 613 423;A01;1;7;0;0;2;1;1
37879;155 613 425;B01;1;1;0;0;1;1;5
37817;155 613 526;A01;2;7;0;1;1;1;1
37624;155 613 868;B01;2;40;0;2;2;1;3
37624;155 613 870;A01;1;1;0;4;1;15;5
37621;155 613 873;A01;2;80;0;2;1;5;3
37621;155 613 875;B01;1;80;0;2;1;17;3
37617;155 613 880;A01;2;7;0;2;1;2;1
37617;155 613 882;B01;2;7;0;0;4;1;1
37613;155 613 888;A01;2;7;0;9;1;15;1
37613;155 613 892;B01;3;60;0;0;0;0;5
37607;155 613 896;A01;1;7;0;2;1;15;1
37607;155 613 898;B01;2;1;0;2;1;1;5
37606;155 613 900;B01;2;7;0;2;3;19;1
37606;155 613 902;A01;1;31;0;2;2;21;1
37523;155 614 047;A01;3;7;0;1;2;0;0
37426;155 614 223;B01;3;1;0;2;7;0;5
37426;155 614 224;A01;3;7;0;2;3;1;1
37425;155 614 225;B01;2;7;0;2;1;1;1
37425;155 614 226;A01;1;7;0;2;1;13;1
